State,Population,Deaths,Abbrev
Alabama,"48,33,722",723,AL
Alaska,"7,35,132",124,AK
Arizona,"66,26,624","1,211",AZ
Arkansas,"29,59,373",356,AR
California,"3,83,32,521","4,521",CA
Colorado,"52,68,367",899,CO
Connecticut,"35,96,080",623,CT
Delaware,"9,25,749",189,DE
Florida,"1,95,52,860","2,634",FL
Georgia,"99,92,167","1,206",GA
Hawaii,"14,04,054",157,HI
Idaho,"16,12,136",212,ID
Illinois,"1,28,82,135","1,705",IL
Indiana,"65,70,902","1,172",IN
Iowa,"30,90,416",264,IA
Kansas,"28,93,957",332,KS
Kentucky,"43,95,295","1,077",KY
Louisiana,"46,25,470",777,LA
Maine,"13,28,302",216,ME
Maryland,"59,28,814","1,070",MD
Massachusetts,"66,92,824","1,289",MA
Michigan,"98,95,622","1,762",MI
Minnesota,"54,20,380",517,MN
Mississippi,"29,91,207",336,MS
Missouri,"60,44,171","1,067",MO
Montana,"10,15,165",125,MT
Nebraska,"18,68,516",125,NE
Nevada,"27,90,136",545,NV
New Hampshire,"13,23,459",334,NH
New Jersey,"88,99,339","1,253",NJ
New Mexico,"20,85,287",547,NM
New York,"1,96,51,127","2,300",NY
North Carolina,"98,48,060","1,358",NC
North Dakota,"7,23,393",43,ND
Ohio,"1,15,70,808","2,744",OH
Oklahoma,"38,50,568",777,OK
Oregon,"39,30,065",522,OR
Pennsylvania,"1,27,73,801","2,732",PA
Rhode Island,"10,51,511",247,RI
South Carolina,"47,74,839",701,SC
South Dakota,"8,44,877",63,SD
Tennessee,"64,95,978","1,269",TN
Texas,"2,64,48,193","2,601",TX
Utah,"29,00,872",603,UT
Vermont,"6,26,630",83,VT
Virginia,"82,60,405",980,VA
Washington,"69,71,406",979,WA
West Virginia,"18,54,304",627,WV
Wisconsin,"57,42,713",853,WI
Wyoming,"5,82,658",109,WY
